word,tfidf_score,genre
feel,3.818589796209124,electronic
producer,3.7023832839476034,electronic
vocal,3.4953721590324087,electronic
drum,3.423403316959108,electronic
club,3.3832663181394724,electronic
pop,3.308755107681813,electronic
time,3.261842193258468,electronic
beat,3.1216351511944733,electronic
first,3.0598103347147383,electronic
even,2.9953220507337748,electronic
techno,2.9870742980632348,electronic
dance,2.934373976748284,electronic
guitar,2.8965933084509503,electronic
ambient,2.8862924639541587,electronic
voice,2.859773414667124,electronic
year,2.8286511380387083,electronic
house,2.799110649597438,electronic
electronic,2.766734219062349,electronic
band,2.7450098880901947,electronic
debut,2.7222547390128846,electronic
might,2.6867513731693218,electronic
make,2.6864175530214705,electronic
work,2.6738794264089516,electronic
synths,2.6294738528863157,electronic
synth,2.607358377718173,electronic
long,2.604694262291409,electronic
take,2.574461701972204,electronic
world,2.536738212739085,electronic
rhythm,2.524435113911092,electronic
much,2.52127421571564,electronic
space,2.496557459057553,electronic
back,2.4931522679293927,electronic
set,2.4573576886601485,electronic
yet,2.41405098476928,electronic
melody,2.4115274234333834,electronic
across,2.374032145499169,electronic
pop,4.762319965183439,pop
love,3.4160129603223948,pop
voice,3.3753212039621543,pop
time,3.338730380740367,pop
shes,3.2748877904217606,pop
year,3.1101850691998667,pop
vocal,3.079800167599735,pop
feel,2.994783933002285,pop
debut,2.9857620667013918,pop
first,2.941686758185248,pop
singer,2.7308689420764525,pop
producer,2.5628943723131687,pop
even,2.480153491220598,pop
star,2.4637024896709576,pop
make,2.410277896861029,pop
life,2.3490245378543557,pop
way,2.345862367326826,pop
sings,2.340486507249487,pop
girl,2.319899271770019,pop
beat,2.2841566117413143,pop
production,2.2014857474111955,pop
guitar,2.1911858645120237,pop
two,2.179069875631799,pop
take,2.1524074467093457,pop
moment,2.1228195756450976,pop
want,2.1063391084464036,pop
also,2.0918542675042393,pop
past,2.0536624674055886,pop
back,2.0494286234314822,pop
world,2.030510189488999,pop
something,1.9933109286097201,pop
work,1.98232574817999,pop
single,1.963026696503751,pop
woman,1.9458789805691858,pop
might,1.9419869856054848,pop
lyric,1.9231127017416723,pop
band,11.145219930742151,rock
guitar,6.717857384875672,rock
rock,5.920515045031608,rock
time,5.365502629354054,rock
year,5.231800752747598,rock
first,4.963080138821006,rock
feel,4.9105423630160905,rock
even,4.5533243687365,rock
love,4.326484397635861,rock
pop,4.269561480732006,rock
make,4.092244947645667,rock
life,4.023700665179951,rock
way,4.0168673720129675,rock
group,3.9730172513609863,rock
still,3.8718333751476472,rock
get,3.838013654231388,rock
take,3.764942243377072,rock
also,3.74270055467854,rock
moment,3.696528824592446,rock
day,3.683299934420241,rock
vocal,3.6677447162205765,rock
debut,3.6495227750306096,rock
set,3.632547453805333,rock
two,3.6103493537557765,rock
voice,3.585763624238954,rock
sings,3.509973050019366,rock
drum,3.488614876048935,rock
solo,3.477729282352006,rock
might,3.460122358584339,rock
live,3.449232773121155,rock
something,3.4463774809163263,rock
melody,3.382247721525169,rock
lyric,3.3588374754693198,rock
could,3.3402257389414847,rock
much,3.3012040390169988,rock
indie,3.2931658019873775,rock
back,3.2929505530231102,rock
around,3.24025153490323,rock
feel,2.4316518637189986,experimental
time,2.302797596505437,experimental
guitar,2.273088926101215,experimental
year,2.152596655103828,experimental
voice,2.11346704328751,experimental
work,2.0944867974237997,experimental
band,2.0660811600329616,experimental
melody,1.9201364847177946,experimental
vocal,1.9016236869879624,experimental
first,1.8909654826099118,experimental
world,1.8406933473265799,experimental
ambient,1.8302344002245599,experimental
instrument,1.829486096599328,experimental
pop,1.8208461435946757,experimental
life,1.7963571763782913,experimental
musician,1.7839481552511343,experimental
piano,1.7736745931018718,experimental
even,1.7139824973619053,experimental
debut,1.6880231555206668,experimental
composer,1.6611715872674224,experimental
moment,1.6542039047618111,experimental
make,1.636122864844687,experimental
back,1.6324722368249165,experimental
something,1.6043204593739389,experimental
recording,1.5908540339671116,experimental
would,1.5836082072922406,experimental
take,1.570433824073862,experimental
way,1.5663732225972749,experimental
two,1.5391507825475164,experimental
could,1.5024119726343246,experimental
piece,1.4970508025682396,experimental
across,1.4706936669525272,experimental
end,1.4644641917728434,experimental
come,1.4642773647627554,experimental
rock,1.4593924670861373,experimental
made,1.4566450300409035,experimental
experimental,1.445874935953937,experimental
jazz,1.4401709515946197,experimental
rap,5.589617320456988,rap
beat,4.671477680613151,rap
rapper,4.43604963660247,rap
feel,3.52667520746026,rap
make,3.1310786264860035,rap
year,3.1178868467187355,rap
time,3.0240029487415985,rap
still,3.0184638564202095,rap
get,2.8588316848015287,rap
even,2.8254007257777243,rap
life,2.812782030778926,rap
